Công Cụ Phân Tích Từ Khóa Miễn Phí - Keyword Planner Free

STT	Keyword	Volume	Length	Trend	Trend Data	Difficulty	Competition	Avg.CPC	KW Type	Question
1473	Upgrade VIP to view	10	4	10,10,10,10,0,10,10,10,10,10,10,10,10	10;10;10;10;0;10;10;10;10;10;10;10;10	60	100	0.02	exact	
1474	Upgrade VIP to view	10	5	0,0,10,0,10,0,0,0,10,10,0,0,10	0;0;10;0;10;0;0;0;10;10;0;0;10	56	100	0.02	exact	
1475	Upgrade VIP to view	10	5	10,0,0,0,0,0,0,10,10,10,10,0,10	10;0;0;0;0;0;0;10;10;10;10;0;10	56	100	0.02	exact	
1476	Upgrade VIP to view	10	5	10,0,10,0,0,10,0,0,10,10,0,0,0	10;0;10;0;0;10;0;0;10;10;0;0;0	23	0	0.02	exact	
1477	Upgrade VIP to view	10	5	0,10,0,0,0,0,0,0,10,0,10,10,10	0;10;0;0;0;0;0;0;10;0;10;10;10	56	100	0.02	exact	
1478	Upgrade VIP to view	10	5	10,0,0,0,10,10,0,0,0,0,0,0,0	10;0;0;0;10;10;0;0;0;0;0;0;0	23	0	0.02	exact	
1479	Upgrade VIP to view	10	5	10,10,0,0,0,10,0,0,10,10,10,0,0	10;10;0;0;0;10;0;0;10;10;10;0;0	23	0	0.02	exact	
1480	Upgrade VIP to view	10	5	10,10,10,10,0,10,10,10,10,10,10,0,0	10;10;10;10;0;10;10;10;10;10;10;0;0	23	0	0.02	exact	
1481	Upgrade VIP to view	10	5	10,0,10,0,10,10,10,10,50,10,10,10,0	10;0;10;0;10;10;10;10;50;10;10;10;0	23	0	0.02	exact	
1482	Upgrade VIP to view	10	5	30,10,10,10,10,10,20,10,30,10,10,0,10	30;10;10;10;10;10;20;10;30;10;10;0;10	56	100	0.02	exact	
1483	Upgrade VIP to view	10	4	10,10,10,10,0,10,10,10,10,10,10,10,10	10;10;10;10;0;10;10;10;10;10;10;10;10	60	100	0.02	exact	
1484	Upgrade VIP to view	10	5	0,0,0,10,0,0,10,10,0,0,10,0,10	0;0;0;10;0;0;10;10;0;0;10;0;10	56	100	0.02	exact	
1485	Upgrade VIP to view	10	5	0,0,10,0,0,0,10,10,0,0,0,0,0	0;0;10;0;0;0;10;10;0;0;0;0;0	23	0	0.02	exact	
1486	Upgrade VIP to view	10	5	10,0,10,0,0,10,0,0,0,0,0,0,0	10;0;10;0;0;10;0;0;0;0;0;0;0	23	0	0.02	exact	
1487	Upgrade VIP to view	10	5	0,0,0,0,0,0,10,0,0,10,0,0,0	0;0;0;0;0;0;10;0;0;10;0;0;0	23	0	0.02	exact	
1488	Upgrade VIP to view	10	5	10,10,10,10,10,0,0,10,10,10,10,10,10	10;10;10;10;10;0;0;10;10;10;10;10;10	56	100	0.02	exact	
1489	Upgrade VIP to view	10	5	10,0,0,10,0,10,0,10,0,10,0,0,0	10;0;0;10;0;10;0;10;0;10;0;0;0	23	0	0.02	exact	
1490	Upgrade VIP to view	10	5	10,10,10,0,0,0,0,10,10,0,10,0,10	10;10;10;0;0;0;0;10;10;0;10;0;10	56	100	0.02	exact	
1491	Upgrade VIP to view	10	5	10,0,0,10,10,10,0,10,10,10,0,0,0	10;0;0;10;10;10;0;10;10;10;0;0;0	23	0	0.02	exact	
1492	Upgrade VIP to view	10	5	10,10,10,10,10,10,10,10,10,0,10,10,10	10;10;10;10;10;10;10;10;10;0;10;10;10	56	100	0.02	exact	
1493	Upgrade VIP to view	10	5	10,20,10,10,10,10,10,10,20,20,20,20,10	10;20;10;10;10;10;10;10;20;20;20;20;10	51	86	0.02	exact	
1494	Upgrade VIP to view	10	5	10,0,10,10,10,10,0,10,10,10,10,10,0	10;0;10;10;10;10;0;10;10;10;10;10;0	23	0	0.02	exact	
1495	Upgrade VIP to view	10	5	10,10,10,0,10,0,0,10,10,10,0,10,10	10;10;10;0;10;0;0;10;10;10;0;10;10	56	100	0.02	exact	
1496	Upgrade VIP to view	10	3	0,10,0,10,10,10,10,0,10,10,0,10,10	0;10;0;10;10;10;10;0;10;10;0;10;10	64	100	0.02	exact	
1497	Upgrade VIP to view	10	3	0,10,0,0,0,0,0,0,0,0,0,0,0	0;10;0;0;0;0;0;0;0;0;0;0;0	31	0	0.02	exact	
1498	Upgrade VIP to view	10	3	10,10,10,10,10,0,0,10,10,10,10,0,10	10;10;10;10;10;0;0;10;10;10;10;0;10	64	100	0.02	exact	
1499	Upgrade VIP to view	10	2	10,10,10,10,10,0,10,10,10,10,10,10,10	10;10;10;10;10;0;10;10;10;10;10;10;10	35	0	0.02	exact	
1500	Upgrade VIP to view	10	2	10,10,10,10,10,10,0,0,10,10,10,10,10	10;10;10;10;10;10;0;0;10;10;10;10;10	35	0	0.02	exact	
1501	Upgrade VIP to view	10	2	10,10,10,10,0,10,10,10,10,10,10,0,10	10;10;10;10;0;10;10;10;10;10;10;0;10	49	43	0.02	exact	
1502	Upgrade VIP to view	10	2	10,10,10,0,0,10,0,10,10,10,10,10,0	10;10;10;0;0;10;0;10;10;10;10;10;0	35	0	0.02	exact	
1503	Upgrade VIP to view	10	2	0,0,0,0,0,0,10,0,0,10,10,0,0	0;0;0;0;0;0;10;0;0;10;10;0;0	35	0	0.02	exact	
1504	Upgrade VIP to view	10	2	0,10,0,0,0,0,0,0,0,10,10,0,0	0;10;0;0;0;0;0;0;0;10;10;0;0	35	0	0.02	exact	
1505	Upgrade VIP to view	10	2	10,0,10,0,10,10,10,0,0,10,10,10,10	10;0;10;0;10;10;10;0;0;10;10;10;10	35	0	0.02	exact	
1506	Upgrade VIP to view	10	2	10,10,10,10,20,10,20,10,10,10,10,10,10	10;10;10;10;20;10;20;10;10;10;10;10;10	68	100	0.02	exact	
1507	Upgrade VIP to view	10	2	0,0,0,10,10,0,0,0,0,0,10,0,10	0;0;0;10;10;0;0;0;0;0;10;0;10	68	100	0.02	exact	
1508	Upgrade VIP to view	10	2	0,0,10,0,10,0,0,10,10,0,0,0,0	0;0;10;0;10;0;0;10;10;0;0;0;0	35	0	0.02	exact	
1509	Upgrade VIP to view	10	2	10,10,10,10,10,10,10,10,10,10,10,10,10	10;10;10;10;10;10;10;10;10;10;10;10;10	35	0	0.02	exact	
1510	Upgrade VIP to view	10	3	10,10,10,10,10,10,10,10,10,10,10,10,10	10;10;10;10;10;10;10;10;10;10;10;10;10	64	100	0.08	exact	
1511	Upgrade VIP to view	10	4	10,0,10,0,0,0,0,10,10,10,10,10,10	10;0;10;0;0;0;0;10;10;10;10;10;10	60	100	0.02	exact	
1512	Upgrade VIP to view	10	4	0,0,0,0,0,10,0,0,10,0,0,0,0	0;0;0;0;0;10;0;0;10;0;0;0;0	27	0	0.02	exact	
1513	Upgrade VIP to view	10	4	10,10,10,0,0,0,0,0,0,0,0,10,0	10;10;10;0;0;0;0;0;0;0;0;10;0	27	0	0.02	exact	
1514	Upgrade VIP to view	10	2	0,0,0,0,0,0,0,0,0,0,10,10,0	0;0;0;0;0;0;0;0;0;0;10;10;0	35	0	0.02	exact	
1515	Upgrade VIP to view	10	3	20,10,10,10,10,10,10,10,20,30,10,10,0	20;10;10;10;10;10;10;10;20;30;10;10;0	31	0	0.02	exact	
1516	Upgrade VIP to view	10	3	10,10,10,10,10,0,10,10,50,10,10,10,10	10;10;10;10;10;0;10;10;50;10;10;10;10	64	100	0.07	exact	
1517	Upgrade VIP to view	10	3	10,10,10,10,10,10,0,10,10,10,10,10,10	10;10;10;10;10;10;0;10;10;10;10;10;10	64	100	0.20	exact	
1518	Upgrade VIP to view	10	2	10,10,10,10,10,10,10,10,10,10,10,10,10	10;10;10;10;10;10;10;10;10;10;10;10;10	35	0	0.02	exact	
1519	Upgrade VIP to view	10	3	10,10,10,10,10,10,10,10,10,10,10,10,10	10;10;10;10;10;10;10;10;10;10;10;10;10	31	0	0.02	exact	
1520	Upgrade VIP to view	10	2	10,10,10,10,10,10,0,10,10,0,10,10,10	10;10;10;10;10;10;0;10;10;0;10;10;10	42	21	0.02	exact	
1521	Upgrade VIP to view	10	2	10,10,0,10,10,10,10,10,10,10,10,10,10	10;10;0;10;10;10;10;10;10;10;10;10;10	68	100	0.02	exact	
1522	Upgrade VIP to view	10	2	10,10,10,0,10,10,10,10,10,0,10,10,10	10;10;10;0;10;10;10;10;10;0;10;10;10	35	0	0.02	exact	
1523	Upgrade VIP to view	10	2	30,20,10,10,10,10,10,10,10,20,10,10,10	30;20;10;10;10;10;10;10;10;20;10;10;10	49	43	0.02	exact	
1524	Upgrade VIP to view	10	2	0,0,0,0,10,0,10,10,10,0,0,0,0	0;0;0;0;10;0;10;10;10;0;0;0;0	35	0	0.02	exact	
1525	Upgrade VIP to view	10	4	10,0,10,0,0,0,0,10,10,10,10,10,10	10;0;10;0;0;0;0;10;10;10;10;10;10	60	100	0.02	exact	
1526	Upgrade VIP to view	10	3	0,0,0,0,0,0,0,0,0,0,0,0,10	0;0;0;0;0;0;0;0;0;0;0;0;10	64	100	0.02	exact	
1527	Upgrade VIP to view	10	2	0,10,10,10,0,0,0,0,0,10,10,0,0	0;10;10;10;0;0;0;0;0;10;10;0;0	35	0	0.02	exact	
1528	Upgrade VIP to view	10	2	10,10,10,0,10,10,0,0,10,10,10,10,10	10;10;10;0;10;10;0;0;10;10;10;10;10	59	71	0.02	exact	
1529	Upgrade VIP to view	10	2	10,10,10,10,10,10,10,10,10,10,10,10,10	10;10;10;10;10;10;10;10;10;10;10;10;10	51	48	0.02	exact	
1530	Upgrade VIP to view	10	2	10,10,10,10,10,10,0,10,10,10,10,10,10	10;10;10;10;10;10;0;10;10;10;10;10;10	64	86	0.02	exact	
1531	Upgrade VIP to view	10	2	20,10,10,10,10,10,10,10,10,10,20,10,10	20;10;10;10;10;10;10;10;10;10;20;10;10	64	86	0.02	exact	
1532	Upgrade VIP to view	10	2	10,10,10,10,10,10,0,0,10,10,0,0,0	10;10;10;10;10;10;0;0;10;10;0;0;0	35	0	0.02	exact	
1533	Upgrade VIP to view	10	2	10,10,10,10,10,10,0,10,10,10,10,10,0	10;10;10;10;10;10;0;10;10;10;10;10;0	35	0	0.02	exact	
1534	Upgrade VIP to view	10	2	10,10,10,10,10,10,10,10,10,10,10,10,10	10;10;10;10;10;10;10;10;10;10;10;10;10	64	86	0.02	exact	
1535	Upgrade VIP to view	10	2	10,0,10,10,10,10,0,10,10,10,10,10,10	10;0;10;10;10;10;0;10;10;10;10;10;10	68	100	0.02	exact	
1536	Upgrade VIP to view	10	2	0,10,10,0,10,0,10,10,10,10,10,10,0	0;10;10;0;10;0;10;10;10;10;10;10;0	35	0	0.02	exact	
1537	Upgrade VIP to view	10	2	0,10,10,10,10,10,0,10,10,10,10,10,10	0;10;10;10;10;10;0;10;10;10;10;10;10	57	67	0.02	exact	
1538	Upgrade VIP to view	10	2	10,10,0,10,0,10,10,10,10,10,10,10,10	10;10;0;10;0;10;10;10;10;10;10;10;10	68	100	0.02	exact	
1539	Upgrade VIP to view	10	2	10,10,10,10,10,10,0,10,10,10,10,10,10	10;10;10;10;10;10;0;10;10;10;10;10;10	55	60	0.02	exact	
1540	Upgrade VIP to view	10	2	10,10,10,10,0,0,10,10,10,10,10,10,10	10;10;10;10;0;0;10;10;10;10;10;10;10	59	71	0.02	exact	
1541	Upgrade VIP to view	10	2	10,10,10,10,10,10,10,10,10,10,10,10,10	10;10;10;10;10;10;10;10;10;10;10;10;10	68	100	0.02	exact	
1542	Upgrade VIP to view	10	2	10,10,10,10,0,10,10,10,10,10,10,10,10	10;10;10;10;0;10;10;10;10;10;10;10;10	53	54	0.02	exact	
1543	Upgrade VIP to view	10	2	0,10,10,10,10,10,10,10,10,10,10,10,10	0;10;10;10;10;10;10;10;10;10;10;10;10	64	86	0.02	exact	
1544	Upgrade VIP to view	10	2	10,10,10,10,10,10,10,10,20,10,10,10,0	10;10;10;10;10;10;10;10;20;10;10;10;0	35	0	0.02	exact	
1545	Upgrade VIP to view	10	2	10,10,0,0,0,10,10,10,10,10,10,10,10	10;10;0;0;0;10;10;10;10;10;10;10;10	68	100	0.02	exact	
1546	Upgrade VIP to view	10	2	10,10,10,10,0,10,0,10,10,10,10,10,10	10;10;10;10;0;10;0;10;10;10;10;10;10	65	91	0.02	exact	
1547	Upgrade VIP to view	10	2	10,10,10,10,10,10,10,10,10,10,10,10,10	10;10;10;10;10;10;10;10;10;10;10;10;10	49	43	0.02	exact	
1548	Upgrade VIP to view	10	2	10,10,10,10,10,10,10,10,10,20,10,10,10	10;10;10;10;10;10;10;10;10;20;10;10;10	55	60	0.02	exact	
1549	Upgrade VIP to view	10	2	20,10,10,10,10,10,10,10,20,20,10,10,10	20;10;10;10;10;10;10;10;20;20;10;10;10	60	75	0.02	exact	
1550	Upgrade VIP to view	10	2	10,10,10,10,10,10,10,10,10,10,10,10,10	10;10;10;10;10;10;10;10;10;10;10;10;10	47	36	0.02	exact	
1551	Upgrade VIP to view	10	2	10,10,10,0,10,10,10,10,10,10,10,10,10	10;10;10;0;10;10;10;10;10;10;10;10;10	59	71	0.02	exact	
1552	Upgrade VIP to view	10	2	0,10,0,0,0,0,0,0,0,0,0,0,0	0;10;0;0;0;0;0;0;0;0;0;0;0	35	0	0.02	exact	
1553	Upgrade VIP to view	10	3	0,0,0,0,0,0,10,0,0,0,0,0,0	0;0;0;0;0;0;10;0;0;0;0;0;0	31	0	0.02	exact	
1554	Upgrade VIP to view	10	2	10,10,10,10,10,10,10,10,10,10,10,10,50	10;10;10;10;10;10;10;10;10;10;10;10;50	36	4	0.02	exact	
1555	Upgrade VIP to view	10	2	10,10,10,10,10,10,0,10,10,10,10,10,10	10;10;10;10;10;10;0;10;10;10;10;10;10	62	81	0.02	exact	
1556	Upgrade VIP to view	10	2	0,0,0,0,0,0,0,0,0,10,0,0,0	0;0;0;0;0;0;0;0;0;10;0;0;0	35	0	0.02	exact	
1557	Upgrade VIP to view	10	2	0,0,10,0,0,0,0,10,0,0,0,0,0	0;0;10;0;0;0;0;10;0;0;0;0;0	35	0	0.02	exact	
1558	Upgrade VIP to view	10	2	0,10,0,0,0,0,0,0,0,0,0,0,0	0;10;0;0;0;0;0;0;0;0;0;0;0	35	0	0.02	exact	
1559	Upgrade VIP to view	10	2	0,0,0,0,0,0,0,0,0,10,0,0,0	0;0;0;0;0;0;0;0;0;10;0;0;0	35	0	0.02	exact	
1560	Upgrade VIP to view	10	2	0,10,0,0,0,0,0,0,0,10,0,0,0	0;10;0;0;0;0;0;0;0;10;0;0;0	35	0	0.02	exact	
1561	Upgrade VIP to view	10	2	0,0,0,0,0,0,0,0,0,0,0,0,10	0;0;0;0;0;0;0;0;0;0;0;0;10	68	100	0.02	exact	
1562	Upgrade VIP to view	10	2	0,0,0,0,0,0,0,0,0,0,0,10,0	0;0;0;0;0;0;0;0;0;0;0;10;0	35	0	0.02	exact	
1563	Upgrade VIP to view	10	2	0,10,0,0,0,0,0,0,0,0,0,0,0	0;10;0;0;0;0;0;0;0;0;0;0;0	35	0	0.02	exact	
1564	Upgrade VIP to view	10	2	0,0,0,0,0,0,10,0,0,0,0,0,0	0;0;0;0;0;0;10;0;0;0;0;0;0	35	0	0.02	exact	
1565	Upgrade VIP to view	10	2	0,0,0,0,0,0,0,0,0,0,0,0,10	0;0;0;0;0;0;0;0;0;0;0;0;10	49	43	0.02	exact	
1566	Upgrade VIP to view	10	2	10,0,0,0,0,0,0,0,0,10,10,0,10	10;0;0;0;0;0;0;0;0;10;10;0;10	68	100	0.02	exact	
1567	Upgrade VIP to view	10	2	0,0,0,0,0,0,0,0,0,0,10,0,0	0;0;0;0;0;0;0;0;0;0;10;0;0	35	0	0.02	exact	
1568	Upgrade VIP to view	10	2	0,0,0,0,0,0,0,10,0,0,0,0,0	0;0;0;0;0;0;0;10;0;0;0;0;0	35	0	0.02	exact	
1569	Upgrade VIP to view	10	2	0,0,0,0,0,0,0,0,0,0,10,0,0	0;0;0;0;0;0;0;0;0;0;10;0;0	35	0	0.02	exact	
1570	Upgrade VIP to view	10	2	0,0,0,0,0,0,0,0,0,0,0,10,0	0;0;0;0;0;0;0;0;0;0;0;10;0	35	0	0.02	exact	
1571	Upgrade VIP to view	10	3	0,0,0,0,0,0,10,0,0,0,0,0,0	0;0;0;0;0;0;10;0;0;0;0;0;0	31	0	0.02	exact	
1572	Upgrade VIP to view	10	4	20,10,10,10,10,10,10,10,20,20,10,10,10	20;10;10;10;10;10;10;10;20;20;10;10;10	60	100	0.02	exact	
1573	Upgrade VIP to view	10	3	10,10,10,10,10,10,10,10,10,20,10,10,10	10;10;10;10;10;10;10;10;10;20;10;10;10	64	100	0.29	exact	
1574	Upgrade VIP to view	10	3	0,0,0,0,0,0,0,0,0,0,10,0,0	0;0;0;0;0;0;0;0;0;0;10;0;0	31	0	0.02	exact	
1575	Upgrade VIP to view	10	2	10,10,10,10,10,10,0,10,10,10,10,10,10	10;10;10;10;10;10;0;10;10;10;10;10;10	37	5	0.02	exact	
1576	Upgrade VIP to view	10	2	0,10,10,0,10,10,10,0,10,10,10,10,10	0;10;10;0;10;10;10;0;10;10;10;10;10	68	100	0.02	exact	
1577	Upgrade VIP to view	10	2	10,0,0,0,10,0,0,0,0,0,0,0,0	10;0;0;0;10;0;0;0;0;0;0;0;0	35	0	0.02	exact	
1578	Upgrade VIP to view	10	2	10,0,0,10,0,0,10,0,0,0,10,0,0	10;0;0;10;0;0;10;0;0;0;10;0;0	35	0	0.02	exact	
1579	Upgrade VIP to view	10	2	0,0,0,0,0,0,0,0,0,10,0,0,0	0;0;0;0;0;0;0;0;0;10;0;0;0	35	0	0.02	exact	
1580	Upgrade VIP to view	10	3	0,0,0,0,0,10,10,0,0,10,0,10,0	0;0;0;0;0;10;10;0;0;10;0;10;0	31	0	0.02	exact	
1581	Upgrade VIP to view	10	3	10,10,10,10,10,10,10,10,10,10,0,10,0	10;10;10;10;10;10;10;10;10;10;0;10;0	31	0	0.02	exact	
1582	Upgrade VIP to view	10	4	0,0,10,0,0,10,0,10,0,0,0,0,10	0;0;10;0;0;10;0;10;0;0;0;0;10	60	100	0.02	exact	
1583	Upgrade VIP to view	10	3	10,10,10,10,10,10,10,10,10,10,10,10,10	10;10;10;10;10;10;10;10;10;10;10;10;10	53	67	0.02	exact	
1584	Upgrade VIP to view	10	3	0,10,10,10,10,10,10,10,0,10,10,20,10	0;10;10;10;10;10;10;10;0;10;10;20;10	46	46	0.02	exact	
1585	Upgrade VIP to view	10	3	20,10,20,10,10,10,10,10,10,10,20,10,20	20;10;20;10;10;10;10;10;10;10;20;10;20	61	91	0.49	exact	
1586	Upgrade VIP to view	10	4	10,10,10,0,0,10,0,0,10,10,10,10,10	10;10;10;0;0;10;0;0;10;10;10;10;10	60	100	0.02	exact	
1587	Upgrade VIP to view	10	3	10,10,0,10,0,10,0,10,0,10,10,0,10	10;10;0;10;0;10;0;10;0;10;10;0;10	64	100	0.02	exact	
1588	Upgrade VIP to view	10	2	10,0,10,10,10,10,0,10,10,10,10,10,10	10;0;10;10;10;10;0;10;10;10;10;10;10	68	100	0.02	exact	
1589	Upgrade VIP to view	10	3	10,10,10,10,10,10,10,10,20,30,40,20,30	10;10;10;10;10;10;10;10;20;30;40;20;30	42	33	0.02	exact	
1590	Upgrade VIP to view	10	2	0,0,10,0,0,10,0,0,0,0,0,0,0	0;0;10;0;0;10;0;0;0;0;0;0;0	35	0	0.02	exact	
1591	Upgrade VIP to view	10	1	10,10,10,10,10,10,0,10,10,10,10,10,10	10;10;10;10;10;10;0;10;10;10;10;10;10	39	0	0.02	broad	
1592	Upgrade VIP to view	10	1	0,0,0,0,10,0,0,10,0,0,0,0,10	0;0;0;0;10;0;0;10;0;0;0;0;10	39	0	0.02	broad	
1593	Upgrade VIP to view	10	1	10,10,10,10,10,10,10,20,10,10,20,20,10	10;10;10;10;10;10;10;20;10;10;20;20;10	39	0	0.02	broad	
1594	Upgrade VIP to view	10	1	10,10,10,10,10,10,10,10,10,10,10,10,10	10;10;10;10;10;10;10;10;10;10;10;10;10	39	0	0.02	broad	
1595	Upgrade VIP to view	10	1	0,0,10,0,0,0,0,10,0,0,0,10,0	0;0;10;0;0;0;0;10;0;0;0;10;0	39	0	0.02	broad	
1596	Upgrade VIP to view	10	1	10,10,10,10,10,20,10,10,10,10,20,10,10	10;10;10;10;10;20;10;10;10;10;20;10;10	39	0	0.02	broad	
1597	Upgrade VIP to view	10	4	10,10,10,10,10,0,0,10,10,10,10,10,10	10;10;10;10;10;0;0;10;10;10;10;10;10	60	100	0.08	phrase	
1598	Upgrade VIP to view	10	6	10,10,10,10,10,10,10,10,10,10,10,10,10	10;10;10;10;10;10;10;10;10;10;10;10;10	52	100	0.02	phrase	
1599	Upgrade VIP to view	10	2	20,10,10,10,10,0,10,10,20,30,20,10,10	20;10;10;10;10;0;10;10;20;30;20;10;10	65	90	0.06	phrase	
1600	Upgrade VIP to view	10	5	10,0,10,10,10,0,0,0,10,10,10,10,10	10;0;10;10;10;0;0;0;10;10;10;10;10	46	71	0.02	phrase	
1601	Upgrade VIP to view	10	5	10,10,10,10,10,10,10,20,10,10,10,10,10	10;10;10;10;10;10;10;20;10;10;10;10;10	54	94	0.02	phrase	
1602	Upgrade VIP to view	10	4	10,10,10,10,10,10,10,10,30,20,40,10,10	10;10;10;10;10;10;10;10;30;20;40;10;10	57	90	0.02	phrase	
1603	Upgrade VIP to view	10	4	10,0,10,0,0,0,0,0,10,10,10,0,0	10;0;10;0;0;0;0;0;10;10;10;0;0	27	0	0.02	phrase	
1604	Upgrade VIP to view	10	5	10,10,10,10,10,10,0,10,10,10,10,10,10	10;10;10;10;10;10;0;10;10;10;10;10;10	56	100	0.02	phrase	
1605	Upgrade VIP to view	10	4	10,10,10,10,10,10,0,10,10,10,10,10,10	10;10;10;10;10;10;0;10;10;10;10;10;10	60	100	0.02	phrase	
1606	Upgrade VIP to view	10	5	10,10,10,10,10,10,10,10,10,20,10,10,10	10;10;10;10;10;10;10;10;10;20;10;10;10	56	100	0.02	phrase	
1607	Upgrade VIP to view	10	6	20,10,10,10,10,0,10,10,10,20,10,10,10	20;10;10;10;10;0;10;10;10;20;10;10;10	52	100	0.02	phrase	
1608	Upgrade VIP to view	10	4	10,10,0,10,0,0,0,10,10,0,0,0,10	10;10;0;10;0;0;0;10;10;0;0;0;10	48	64	0.02	phrase	
1609	Upgrade VIP to view	10	4	0,0,0,0,0,0,0,0,0,10,10,0,0	0;0;0;0;0;0;0;0;0;10;10;0;0	27	0	0.02	phrase	
1610	Upgrade VIP to view	10	4	0,0,0,0,10,0,0,0,10,0,0,0,0	0;0;0;0;10;0;0;0;10;0;0;0;0	27	0	0.02	phrase	
1611	Upgrade VIP to view	10	4	10,10,10,10,0,0,10,10,10,20,10,10,10	10;10;10;10;0;0;10;10;10;20;10;10;10	60	100	0.02	phrase	
1612	Upgrade VIP to view	10	5	10,10,0,0,0,0,0,10,10,20,10,10,10	10;10;0;0;0;0;0;10;10;20;10;10;10	29	21	0.02	phrase	
1613	Upgrade VIP to view	10	6	10,10,10,0,0,10,10,0,0,10,10,0,0	10;10;10;0;0;10;10;0;0;10;10;0;0	19	0	0.02	broad	
1614	Upgrade VIP to view	10	4	20,10,10,10,10,10,10,10,10,10,20,10,10	20;10;10;10;10;10;10;10;10;10;20;10;10	60	100	0.30	phrase	
1615	Upgrade VIP to view	10	5	10,10,10,10,10,10,10,10,10,10,10,10,10	10;10;10;10;10;10;10;10;10;10;10;10;10	53	93	0.02	phrase	
1616	Upgrade VIP to view	10	5	10,10,0,10,10,10,10,10,10,10,10,10,10	10;10;0;10;10;10;10;10;10;10;10;10;10	56	100	0.02	broad	
1617	Upgrade VIP to view	10	5	0,10,10,10,10,10,10,10,10,10,10,10,10	0;10;10;10;10;10;10;10;10;10;10;10;10	44	64	0.02	phrase	
1618	Upgrade VIP to view	10	1	0,10,0,10,10,0,0,0,0,0,10,0,10	0;10;0;10;10;0;0;0;0;0;10;0;10	39	0	0.02	broad	
1619	Upgrade VIP to view	10	2	10,10,20,10,10,10,10,10,10,10,10,10,10	10;10;20;10;10;10;10;10;10;10;10;10;10	36	2	0.02	phrase	
1620	Upgrade VIP to view	10	1	0,0,10,0,0,0,0,0,0,0,0,0,0	0;0;10;0;0;0;0;0;0;0;0;0;0	39	0	0.02	broad	
1621	Upgrade VIP to view	10	1	0,0,0,0,0,0,0,0,0,0,10,0,0	0;0;0;0;0;0;0;0;0;0;10;0;0	39	0	0.02	broad	
1622	Upgrade VIP to view	10	1	0,0,0,0,0,0,0,0,0,0,0,0,10	0;0;0;0;0;0;0;0;0;0;0;0;10	39	0	0.02	broad	
1623	Upgrade VIP to view	10	1	0,0,0,0,10,0,0,0,0,0,0,0,10	0;0;0;0;10;0;0;0;0;0;0;0;10	39	0	0.02	broad	
1624	Upgrade VIP to view	10	1	0,0,0,0,0,0,10,0,0,0,0,0,0	0;0;0;0;0;0;10;0;0;0;0;0;0	39	0	0.02	broad	
1625	Upgrade VIP to view	10	1	0,0,0,0,10,0,0,0,0,0,0,0,0	0;0;0;0;10;0;0;0;0;0;0;0;0	39	0	0.02	broad	
1626	Upgrade VIP to view	10	1	0,0,10,0,0,0,0,0,0,0,0,0,0	0;0;10;0;0;0;0;0;0;0;0;0;0	39	0	0.02	broad	
1627	Upgrade VIP to view	10	1	0,0,0,0,0,0,0,0,0,10,0,10,0	0;0;0;0;0;0;0;0;0;10;0;10;0	39	0	0.02	broad	
1628	Upgrade VIP to view	10	1	0,0,0,0,10,0,0,0,0,0,0,10,0	0;0;0;0;10;0;0;0;0;0;0;10;0	39	0	0.02	broad	
1629	Upgrade VIP to view	10	1	0,0,0,0,0,0,0,0,0,0,0,0,10	0;0;0;0;0;0;0;0;0;0;0;0;10	39	0	0.02	broad	
1630	Upgrade VIP to view	10	1	0,0,0,10,10,10,0,0,0,0,0,10,0	0;0;0;10;10;10;0;0;0;0;0;10;0	39	0	0.02	broad	
1631	Upgrade VIP to view	10	1	0,0,0,0,0,0,0,10,0,0,0,0,0	0;0;0;0;0;0;0;10;0;0;0;0;0	39	0	0.02	broad	
1632	Upgrade VIP to view	10	1	0,0,0,0,10,0,10,10,10,10,0,0,0	0;0;0;0;10;0;10;10;10;10;0;0;0	39	0	0.02	broad	
1633	Upgrade VIP to view	10	1	0,0,0,0,0,10,0,0,0,0,0,0,0	0;0;0;0;0;10;0;0;0;0;0;0;0	39	0	0.02	broad	
1634	Upgrade VIP to view	10	1	0,0,0,0,0,0,0,0,0,0,0,10,0	0;0;0;0;0;0;0;0;0;0;0;10;0	39	0	0.02	broad	
1635	Upgrade VIP to view	10	2	0,0,0,0,0,0,0,0,0,10,0,0,0	0;0;0;0;0;0;0;0;0;10;0;0;0	35	0	0.02	broad	
1636	Upgrade VIP to view	10	2	0,10,10,10,0,10,0,10,10,10,10,10,10	0;10;10;10;0;10;0;10;10;10;10;10;10	55	60	0.02	phrase	
1637	Upgrade VIP to view	10	1	0,0,0,0,0,0,0,0,0,0,0,0,10	0;0;0;0;0;0;0;0;0;0;0;0;10	39	0	0.02	broad	
1638	Upgrade VIP to view	10	1	0,0,0,0,0,0,0,0,0,0,0,10,0	0;0;0;0;0;0;0;0;0;0;0;10;0	39	0	0.02	broad	
1639	Upgrade VIP to view	10	1	0,0,10,0,0,0,0,0,10,10,0,10,0	0;0;10;0;0;0;0;0;10;10;0;10;0	39	0	0.02	broad	
1640	Upgrade VIP to view	10	2	0,0,0,0,0,0,0,10,0,0,0,0,0	0;0;0;0;0;0;0;10;0;0;0;0;0	35	0	0.02	phrase	
1641	Upgrade VIP to view	10	1	0,0,0,0,0,0,0,0,10,0,0,0,10	0;0;0;0;0;0;0;0;10;0;0;0;10	43	11	0.02	broad	
